bedroom,net_sqm,distance_to_center_km,distance_to_metro_km,floor,age_of_house,price
3,119,6,9,12,33,114851
4,199,8,7,18,9,209092
2,128,4,9,13,37,122170
2,105,5,4,15,17,108684
5,51,22,4,16,27,44271
1,112,7,6,4,33,96077
5,115,23,8,12,49,95413
4,129,4,9,17,12,131631
4,49,20,1,1,45,38914
4,135,4,1,18,11,145010
4,59,15,8,16,13,61536
4,78,21,7,1,31,66924
3,99,5,9,10,13,104759
2,105,24,3,19,38,78426
4,104,9,5,16,26,107917
1,163,2,3,14,31,151048
1,191,7,5,2,22,184532
1,194,17,1,6,6,183753
1,169,16,4,5,20,146265
3,198,17,6,12,21,183433
1,96,20,2,4,10,72850
4,117,23,7,4,19,107316
5,68,2,8,5,35,79006
1,54,11,1,7,26,53286
3,51,2,4,6,7,58378
3,140,1,4,13,37,134492
1,195,2,5,4,8,195667
5,123,23,4,13,5,124663
1,164,9,9,4,44,144447
3,142,22,7,10,36,118485
2,63,2,2,1,28,69644
4,188,15,1,8,3,195763
3,177,10,9,7,39,163338
1,149,15,1,5,8,147633
4,117,10,6,3,15,126444
1,140,23,2,15,27,118193
1,185,17,4,17,49,164494
2,181,9,6,13,36,168927
4,167,18,5,15,16,161653
4,97,4,6,19,26,110164
2,115,9,3,14,45,110805
3,189,16,5,13,44,172728
1,75,4,2,12,4,86832
5,61,16,7,9,12,63227
1,166,19,3,3,17,154081
1,119,1,1,11,41,119052
3,139,23,8,10,44,120458
1,135,6,8,1,26,125693
2,187,10,3,17,31,191492
2,57,16,7,13,15,55484
4,77,4,9,14,34,87887
5,190,22,8,1,29,193884
1,148,22,3,2,9,140137
1,162,13,2,2,14,156707
3,183,16,7,7,36,175221
2,188,20,7,9,4,183126
5,143,6,9,4,38,141182
4,179,11,5,2,37,174074
2,183,24,4,19,24,176023
4,120,3,8,5,17,130060
3,126,20,4,9,13,111359
3,181,10,4,13,20,191610
1,100,1,2,12,17,93301
5,85,20,1,19,27,96047
4,71,11,4,9,33,63097
2,54,12,7,10,21,42984
3,83,14,9,19,17,84223
1,184,8,9,10,22,178799
1,93,11,1,12,25,84798
4,83,4,5,14,3,90878
3,137,7,7,8,27,127264
5,44,10,7,16,27,51982
3,148,19,6,17,46,127097
4,66,4,4,4,12,80107
4,155,2,3,6,15,161526
3,126,21,9,12,38,116435
4,143,18,4,18,20,148423
3,162,14,8,7,22,154142
2,118,16,1,5,2,109529
3,82,22,7,10,4,82062
3,136,11,6,6,45,130831
4,70,10,1,14,13,77618
4,138,17,4,6,32,126397
1,56,14,5,14,22,52105
1,122,22,8,12,25,104751
2,149,4,4,12,27,143914
1,71,19,3,8,17,53322
3,180,2,2,10,6,201787
4,74,7,4,16,43,82288
1,172,9,4,8,16,166959
1,68,19,5,9,8,60462
2,109,16,7,13,33,100977
2,192,22,9,17,10,180270
3,134,16,2,19,34,125310
4,61,18,5,17,19,66805
2,108,23,9,7,14,98219
1,128,21,3,1,3,115561
4,111,21,1,14,41,104549
4,168,11,2,17,23,181135
1,126,7,6,13,40,109058
2,135,9,5,2,11,133953
1,114,4,1,14,47,97515
4,93,13,1,1,6,93830
5,127,4,4,5,34,129274
5,196,19,4,7,1,205957
3,93,2,6,19,35,104445
1,55,9,6,14,25,44078
1,138,12,6,14,29,131439
3,59,2,1,15,23,73264
3,85,6,9,5,18,90894
3,166,5,7,5,14,170254
4,97,5,7,2,17,96912
1,150,20,7,18,2,147094
4,168,22,2,9,31,167423
3,120,5,2,10,19,118001
1,196,4,6,18,32,181512
4,123,9,7,4,28,117016
4,109,22,3,8,41,103859
3,47,10,4,18,8,49669
1,68,16,3,17,42,41110
3,151,10,7,16,41,141743
1,170,10,7,18,40,160897
5,147,19,4,7,39,143819
2,148,10,7,1,22,139196
2,59,6,5,1,24,53055
2,112,17,1,18,38,99428
3,43,5,4,4,2,46910
5,58,6,7,4,41,55225
1,141,24,2,6,41,104805
4,180,15,2,3,19,191376
1,180,19,1,6,41,158413
4,125,18,2,13,2,130944
1,91,4,8,7,28,87642
5,150,8,8,4,32,146498
4,148,16,8,1,19,147162
3,125,24,1,6,16,115638
1,82,19,1,5,30,59371
1,81,20,4,13,22,63152
4,129,3,6,19,14,153075
3,154,10,8,4,1,150797
3,65,2,2,6,45,74461
5,190,4,3,13,2,202508
3,82,6,6,5,22,93300
3,116,11,4,13,46,106233
3,195,14,2,10,33,181791
2,176,16,7,3,15,170626
5,59,21,4,13,41,49006
1,78,19,8,12,22,51639
4,51,2,8,4,40,63873
1,50,17,7,10,39,27844
5,193,9,9,3,41,191245
4,81,17,4,17,41,68117
5,194,15,7,9,11,200186
3,50,7,1,1,4,48334
4,77,22,4,18,7,79419
3,137,23,2,9,21,136130
1,58,19,9,9,7,44355
1,173,3,5,2,4,176628
4,155,1,3,19,12,168158
4,152,4,4,16,27,164854
5,104,18,6,3,17,104290
5,138,8,1,16,20,161124
3,111,19,7,13,31,106196
4,91,23,8,3,26,83870
1,157,23,7,10,31,133547
5,159,6,7,18,35,170988
5,46,1,9,6,9,61913
1,50,8,4,6,5,36680
5,142,1,7,18,48,150916
3,100,19,9,6,8,95667
4,107,11,5,6,21,102237
1,192,21,2,13,16,179479
4,179,24,5,14,16,165824
5,193,15,4,7,18,209491
5,141,23,8,13,47,123193
1,149,11,5,15,28,127404
3,179,19,9,12,18,179423
2,90,21,9,1,14,84210
1,156,10,3,3,48,145760
2,85,24,6,18,37,65846
2,92,12,6,8,40,73916
3,127,1,4,2,16,137123
2,160,24,3,4,21,153118
2,52,7,1,18,1,62536
3,128,17,7,13,11,120356
2,164,10,5,15,11,170626
2,157,6,7,2,2,160126
2,93,17,1,10,32,89529
1,155,18,8,2,19,129801
1,157,5,3,12,5,165325
1,43,18,7,5,3,37050
3,114,17,3,12,28,100844
5,88,22,3,1,26,92205
2,46,16,9,2,23,23791
2,149,8,2,16,30,149322
3,161,24,4,2,8,158953
2,50,13,6,16,36,33072
1,131,24,3,16,29,103372
5,62,16,7,6,13,63978
4,67,11,7,13,25,60093
2,150,6,5,12,22,139838
1,96,3,3,10,46,91451
4,65,1,2,5,33,79680
5,192,18,4,8,37,194145
4,93,5,4,6,7,115959
1,68,13,8,5,23,45198
4,136,10,8,6,6,148513
3,53,5,5,17,15,56128
4,117,14,6,6,15,128377
2,74,17,8,17,40,50888
2,69,1,1,5,34,64781
3,131,2,5,17,14,146286
1,56,7,4,17,29,50939
2,197,10,4,13,16,203281
5,132,20,2,7,29,142258
2,118,7,1,6,23,122971
2,149,24,6,14,10,126898
1,141,16,7,16,47,120452
4,145,5,5,3,4,151961
2,86,12,8,9,12,71073
3,103,17,9,15,42,96461
4,103,16,2,18,34,97657
5,126,20,4,10,4,136879
1,46,16,9,10,20,31105
5,61,19,5,3,28,66668
4,120,15,3,1,28,113589
4,113,12,6,3,6,117840
4,177,21,3,5,14,167721
5,174,10,5,7,35,179574
4,164,22,3,3,47,161395
5,89,2,6,4,1,118926
4,91,7,5,17,19,108904
3,40,13,9,3,1,37475
4,43,3,3,4,13,48316
5,184,15,6,2,8,199658
2,171,1,8,14,18,177281
4,43,3,7,5,35,52553
2,40,10,6,2,23,27483
3,110,15,2,15,26,105034
1,74,22,7,11,41,48298
3,47,6,8,10,38,50443
4,191,20,1,1,20,181906
2,75,15,9,19,2,77520
2,162,24,4,14,26,145504
5,82,21,8,14,36,81130
2,66,7,7,1,25,59920
5,71,21,7,9,30,63678
1,117,5,2,17,18,110358
4,160,4,1,14,7,171507
5,185,22,4,13,27,178408
1,195,18,2,13,11,186802
2,196,3,8,6,37,194938
2,55,17,7,7,8,43654
1,138,18,8,2,11,120621
2,86,18,6,8,24,74204
1,70,24,1,6,30,43016
5,43,24,9,3,30,31699
5,56,2,6,18,15,68429
1,78,13,1,18,35,69085
5,87,22,1,6,39,74930
5,78,15,8,11,24,81302
5,171,5,6,3,8,193338
3,69,3,8,16,43,58615
4,197,5,8,5,42,196933
2,61,5,8,2,20,54927
3,105,5,7,15,41,112896
5,147,3,7,16,47,152423
1,51,3,4,7,26,48621
5,75,20,9,16,24,79566
4,57,23,2,4,22,53079
5,129,18,9,16,5,143385
1,40,20,3,17,15,20000
4,166,4,2,2,36,170648
5,129,1,4,16,37,136971
4,126,16,5,4,29,121410
2,129,8,2,7,15,125870
2,173,17,1,18,27,173382
5,109,8,5,6,49,113622
4,83,7,9,18,8,102428
1,191,8,5,7,29,172729
5,125,21,9,2,19,124359
2,58,24,6,19,31,33683
2,140,12,3,9,9,147924
5,185,16,4,4,10,199777
4,134,12,4,14,37,135211
2,140,19,1,5,10,137870
4,69,10,3,7,33,68010
2,72,7,3,8,25,67823
2,51,12,1,15,4,43021
3,157,20,9,19,5,161877
2,133,5,1,11,23,141247
1,194,16,9,4,39,163911
5,176,9,1,18,5,205045
5,188,7,2,14,8,207785
4,115,20,2,6,17,107186
2,68,22,6,16,1,63735
1,156,14,7,18,12,148462
4,54,11,1,1,35,64135
3,41,7,3,8,14,45450
4,156,10,2,1,48,146943
4,57,9,8,1,18,56932
2,42,4,9,19,10,41547
3,174,16,2,10,15,172474
4,147,10,2,18,42,146863
1,134,19,9,12,33,104976
1,161,24,4,17,19,134916
5,50,17,5,1,34,46568
3,107,9,9,8,45,97051
3,162,13,6,10,25,158586
5,152,1,9,10,16,177595
4,137,2,9,18,8,143329
3,132,13,7,9,35,115930
1,61,24,9,2,21,39217
1,166,9,5,3,19,155779
2,173,7,5,2,46,154297
3,64,16,8,6,11,51463
4,124,19,4,12,44,110502
5,94,7,9,19,11,116236
5,183,6,7,15,11,202501
4,134,18,7,19,22,140261
2,181,19,3,12,21,171604
5,195,11,4,18,27,202017
3,158,12,7,16,18,150964
2,48,10,5,2,42,43615
3,189,13,3,11,48,174142
1,199,12,1,12,40,186993
2,81,21,7,5,38,66866
5,92,10,6,6,30,88837
2,113,20,7,11,45,101589
2,78,18,2,10,47,70356
2,161,4,4,4,45,160008
2,54,24,2,9,33,39902
3,196,5,8,12,21,191470
1,162,5,7,10,2,160376
4,150,12,1,14,13,166819
2,170,3,2,5,2,176915
5,122,8,2,1,43,127538
2,49,22,4,5,45,26673
5,131,2,3,16,31,147452
3,68,18,1,5,10,73063
5,74,9,2,5,23,90643
4,45,13,9,18,22,41041
1,179,7,1,6,47,163387
5,150,10,9,18,29,155924
5,77,9,7,10,33,76491
1,116,22,2,15,31,90818
4,132,15,2,11,14,135849
2,186,5,5,19,10,197936
5,106,12,5,13,18,114815
1,175,1,4,3,11,174956
3,47,12,3,16,39,45677
1,161,22,4,7,47,139650
3,123,6,4,12,3,125122
4,171,19,2,15,2,175427
2,124,19,5,8,8,114467
1,84,16,5,17,31,74211
5,175,19,5,1,8,177639
4,126,3,1,8,43,121885
1,55,23,6,14,48,23909
5,116,10,2,10,2,136716
1,48,18,7,19,22,26953
3,99,13,4,8,5,99733
1,117,18,5,19,7,107548
1,116,3,5,4,20,114825
1,110,23,5,10,28,82766
4,54,3,2,3,13,69804
1,110,23,5,4,2,100196
5,141,12,3,16,32,155140
3,61,20,4,4,26,52998
3,191,7,2,13,3,204864
1,152,24,4,17,41,118347
4,40,8,9,16,42,42311
4,49,9,8,17,13,63158
5,149,14,3,6,21,151900
1,152,5,1,3,45,132943
3,89,21,1,4,37,83477
4,51,19,6,8,23,47757
1,128,21,3,9,7,118842
4,193,16,4,1,17,195092
4,151,24,1,13,28,147912
3,117,12,8,2,47,98365
2,160,21,1,10,30,138374
5,62,4,5,19,5,84190
5,173,8,6,17,24,191534
3,64,7,2,13,7,71740
4,57,15,7,14,34,56162
1,180,6,7,11,42,163344
4,82,5,1,10,33,81663
3,117,14,4,7,27,115111
5,67,21,4,10,14,68413
4,185,13,5,1,19,194805
5,98,10,1,14,48,105364
1,102,18,1,3,38,82082
5,131,4,7,13,12,156269
5,95,8,9,2,3,108470
2,194,24,1,17,7,180259
2,199,11,2,3,35,181580
2,150,17,6,15,25,132649
5,176,18,6,8,49,163038
3,107,21,2,6,15,107727
5,85,11,9,9,19,101251
3,106,16,4,11,19,104690
3,193,12,7,2,23,180934
2,175,13,6,9,11,160188
4,45,16,3,18,21,57774
1,63,23,8,19,34,35777
2,133,21,7,18,39,122925
2,52,1,9,5,7,65294
4,64,16,3,18,42,58963
1,187,15,1,12,44,175905
5,157,6,2,4,27,166972
5,121,12,1,15,23,139199
2,150,8,5,11,38,149982
1,121,7,2,19,20,119738
2,105,2,3,5,27,105908
3,84,12,8,6,8,81562
2,153,21,5,13,37,135434
2,102,14,4,10,3,95591
5,115,16,5,14,2,118853
5,153,11,6,4,22,155363
5,150,20,7,12,6,152086
3,186,9,9,15,39,178352
5,74,10,1,10,40,81945
1,92,17,4,11,36,67791
4,65,12,9,9,44,57947
1,53,6,5,11,24,37631
1,157,19,8,2,12,147095
5,84,11,1,13,17,88072
4,90,9,4,8,22,93754
4,158,21,9,8,19,160545
4,190,6,1,1,9,197726
3,58,24,1,6,12,53820
5,121,16,4,13,32,119760
4,115,20,3,9,31,115389
3,131,16,7,6,17,124885
2,72,6,3,15,23,69515
2,186,5,1,16,10,200768
3,67,21,2,4,30,55438
3,162,4,4,17,19,176630
5,165,2,1,9,26,177143
5,76,6,1,12,26,87126
2,193,9,8,19,11,186385
4,138,17,7,12,20,133417
2,137,14,8,6,45,126890
4,166,7,4,12,4,178682
4,119,22,6,9,47,106783
5,77,19,3,5,12,87584
1,116,1,8,3,25,102176
1,165,20,4,2,10,157810
3,126,15,3,8,22,118056
5,93,18,4,10,7,96741
4,189,3,6,15,24,205306
1,55,18,7,9,2,48214
4,67,2,7,10,32,69969
1,85,10,4,11,21,71299
1,111,11,8,9,7,101833
1,124,24,7,14,8,110348
5,65,3,2,5,38,85592
2,124,7,8,9,21,120068
4,192,8,9,4,8,196995
5,104,19,5,2,25,109805
5,173,18,4,19,28,181204
5,190,13,4,1,28,203695
5,154,13,4,1,31,154397
5,103,24,6,12,36,98676
3,126,19,4,11,25,113985
4,146,23,7,1,41,127838
5,190,12,7,14,37,200757
4,135,17,5,11,38,121844
3,197,22,5,7,12,194106
3,116,12,8,2,37,105884
4,185,13,7,15,37,178980
1,126,12,7,8,31,114892
2,188,19,6,15,18,182279
1,96,14,7,8,26,81613
1,142,7,7,10,6,140134
1,190,13,2,19,9,182841
5,130,6,2,3,11,151823
3,84,24,7,14,31,79421
1,127,19,7,9,46,99495
3,154,19,7,9,2,149856
4,86,4,5,6,29,95431
2,174,19,1,8,46,147997
4,89,9,2,11,42,91832
4,123,16,9,8,5,134751
5,130,4,8,12,23,141430
2,173,6,8,10,36,167099
4,130,8,1,4,7,134359
4,176,24,6,16,13,177844
2,148,16,9,6,42,128830
2,96,5,8,9,10,103796
4,70,21,3,5,36,65087
2,60,22,4,6,16,55068
4,129,10,3,17,15,131534
4,79,23,6,17,43,76106
5,151,13,9,13,19,164375
1,84,14,8,17,21,80566
4,116,7,4,14,35,129694
3,126,20,2,2,15,124810
1,187,6,8,19,48,165669
1,140,7,8,3,14,128286
1,156,5,6,2,29,153339
5,131,21,8,2,5,126760
4,184,18,9,7,49,166252
5,67,23,1,4,18,70369
4,64,12,9,17,1,67176
5,97,6,2,6,27,102986
5,80,1,1,7,27,92237
3,173,4,8,6,25,165290
5,114,19,8,9,41,114127
2,77,12,4,4,21,74086
3,173,15,8,5,14,167216
5,114,3,7,19,20,140318
1,181,23,2,10,28,164954
2,105,20,5,18,21,96867
2,42,8,4,15,23,46309
2,156,11,3,1,11,162163
3,138,16,1,5,2,139103
5,191,9,5,5,20,205528
5,58,3,8,8,24,65223
1,185,5,9,15,25,171066
1,155,20,7,17,37,123046
2,164,14,1,19,22,167502
1,127,15,1,13,24,116537
3,74,6,1,10,15,79812
5,40,4,2,17,12,55760
2,192,8,1,5,46,173671
1,165,19,4,18,31,144828
3,128,5,9,17,43,119238
3,183,13,4,4,31,186096
1,186,16,4,7,30,177064
5,190,1,7,5,41,195319
1,64,13,9,8,20,44024
2,55,22,7,8,8,40897
1,112,11,1,11,44,105819
3,168,21,1,9,30,157521
1,81,8,4,19,35,63958
5,186,8,4,19,21,199141
4,119,24,1,9,47,102334
1,143,14,6,17,40,116353
5,185,13,2,16,28,188340
5,73,3,5,7,39,87407
3,128,4,8,3,17,133321
5,164,20,3,19,12,164779
5,84,15,9,8,18,95486
5,173,15,7,5,47,178759
5,60,21,9,6,28,59414
2,161,13,1,2,3,157136
2,109,9,5,19,15,99580
3,135,10,3,13,16,134980
1,144,12,4,6,22,135364
5,87,14,4,6,49,85786
1,78,1,7,2,31,62184
1,70,14,8,5,31,53044
3,49,14,5,11,1,54520
5,69,8,7,11,11,81990
5,57,16,3,14,6,69487
4,127,14,3,13,23,121366
1,164,1,3,8,9,158538
1,112,16,4,15,16,108046
2,54,18,6,12,38,33787
4,43,7,5,3,44,40795
2,48,15,8,5,19,37185
2,148,24,5,6,45,132700
2,176,17,5,2,13,171418
3,193,19,2,8,32,191105
3,171,23,5,5,36,152414
2,55,13,7,17,9,48374
4,182,9,2,2,46,175929
1,138,24,6,11,46,103009
4,160,24,7,4,49,146936
5,91,15,5,11,37,100150
3,108,3,9,9,31,107331
1,44,24,4,6,31,20000
1,59,1,1,2,19,65244
5,118,16,8,15,2,123287
5,185,8,8,5,45,182457
2,150,23,7,12,32,121227
3,41,13,8,13,43,31585
3,132,8,2,17,34,133123
4,52,17,3,4,1,52691
2,43,22,9,10,21,25025
2,148,23,1,1,3,143940
2,113,14,8,11,27,95022
2,134,21,8,16,44,108076
3,144,21,7,11,7,147912
3,47,7,5,9,33,49506
2,106,15,4,2,9,98824
4,149,16,6,7,30,137423
1,48,19,1,19,18,45584
1,156,6,5,18,26,143573
4,50,23,4,7,20,52614
2,138,1,4,9,38,135987
3,81,12,7,12,41,67395
1,180,18,9,3,31,153451
5,159,16,8,16,8,159476
5,180,12,8,7,23,194307
4,51,20,5,5,25,54980
2,76,13,6,7,47,57021
1,113,8,2,19,1,106530
2,112,22,3,17,46,90454
1,91,1,5,16,18,92381
4,169,21,2,19,19,176217
4,95,7,3,18,42,106540
5,99,15,4,19,6,120041
2,62,22,6,4,17,49185
5,142,13,5,1,46,148636
2,79,13,4,4,45,56878
5,103,9,2,4,8,112532
3,124,24,5,9,42,99513
3,190,15,5,8,9,194489
3,196,4,7,2,37,197608
3,128,13,1,6,27,133348
1,70,12,4,11,36,62306
3,59,5,5,4,6,60330
4,169,7,8,14,6,173358
4,192,8,8,9,45,181440
1,52,5,1,2,4,50414
3,161,9,5,1,22,161099
3,142,14,1,4,40,131153
3,145,12,1,12,27,139870
5,158,4,2,5,37,169390
2,109,20,2,9,2,107462
5,138,8,9,4,9,155547
2,121,17,4,16,11,115581
3,114,8,3,2,20,123622
3,157,21,1,16,43,137533
5,123,1,2,16,39,138456
5,108,20,6,11,14,120802
2,98,2,9,1,26,89376
4,165,4,5,15,38,177768
2,150,24,4,4,30,137648
5,101,21,5,18,36,109338
5,183,1,9,17,38,201711
1,167,7,7,7,35,153676
5,144,1,8,18,6,160287
1,107,9,4,13,3,108556
4,54,3,8,10,1,74471
2,74,12,6,1,18,65636
2,53,19,5,2,23,33966
1,141,15,7,17,32,124666
2,139,22,6,3,29,121266
5,46,16,3,17,23,56183
3,69,10,5,12,36,67410
1,88,22,9,12,6,72890
2,183,6,7,10,17,184664
1,150,17,4,7,18,135636
1,111,21,7,10,31,85876
3,119,22,5,18,6,106407
5,122,24,2,6,34,116424
1,81,17,6,7,44,63925
2,56,21,7,17,44,25947
4,46,19,8,12,27,33014
1,194,18,6,17,36,181689
1,49,11,8,18,48,39964
3,73,24,7,14,42,60890
5,75,7,2,11,25,95051
4,192,10,6,2,10,197071
2,45,7,9,1,39,40650
4,191,5,6,11,46,193852
2,185,12,4,2,39,163128
5,173,16,7,16,12,173113
2,68,21,3,3,11,52513
3,165,18,5,1,49,158510
3,192,3,1,8,43,183850
3,120,20,3,19,3,116678
3,191,15,8,1,22,185398
4,114,5,9,5,4,133336
5,65,13,9,1,8,77627
2,166,19,2,11,14,152508
2,154,12,4,9,20,147676
3,165,23,5,5,24,148218
3,67,21,3,2,14,55759
1,170,5,1,13,28,167373
5,114,6,6,18,16,126593
4,117,7,2,12,32,133179
2,129,10,9,14,47,110110
1,60,16,1,5,12,42354
1,93,8,9,10,16,78753
2,142,9,7,2,19,144807
4,98,4,2,4,5,111037
1,111,21,6,12,12,89177
1,59,21,8,11,29,30129
5,151,8,2,4,5,158084
4,98,7,5,11,42,92633
1,110,15,6,9,17,91678
4,176,21,3,10,47,164298
2,148,3,2,6,8,157173
3,168,17,6,15,40,165716
1,196,11,3,10,40,176874
5,95,9,2,6,30,111580
2,74,5,1,1,10,78577
4,162,10,8,4,20,172522
2,170,15,1,14,45,161257
1,143,14,5,8,16,134662
4,46,4,6,11,41,58704
3,66,21,3,15,16,57446
2,40,20,7,19,42,23406
1,126,2,2,8,3,129452
5,80,12,7,13,23,79329
4,162,1,2,18,22,176809
2,114,24,5,17,28,99506
2,81,20,7,6,46,48918
3,156,5,3,15,45,161848
3,102,6,4,13,36,100882
5,166,24,1,18,4,179968
5,172,11,3,11,38,172810
1,87,8,9,13,24,80304
1,42,7,5,1,19,34653
5,155,4,8,18,11,179646
5,138,6,2,5,40,146027
4,155,16,3,6,46,149038
3,53,20,7,1,40,26994
1,151,15,4,7,46,126840
3,100,14,9,4,39,85244
3,198,23,7,9,18,179085
5,134,12,1,15,12,158064
4,56,12,4,6,14,61941
2,163,16,6,17,47,141927
4,63,15,6,18,18,71820
4,155,13,6,4,44,155778
3,190,11,5,9,42,181933
4,121,17,3,14,12,129254
1,89,21,2,3,40,71136
3,118,15,3,1,27,113799
1,118,14,9,11,6,110476
2,109,10,3,1,24,95431
3,66,12,3,12,33,67243
2,54,16,1,9,45,34699
3,89,15,2,5,16,84836
5,75,10,3,15,12,81760
4,47,4,2,18,31,64414
5,118,23,8,9,37,116289
2,170,9,6,13,13,176818
4,86,21,7,13,8,91137
3,144,20,1,13,38,128067
4,137,9,6,10,3,151554
1,135,21,2,10,20,110371
4,199,24,6,7,4,190294
1,155,20,3,5,44,134101
4,52,11,7,7,45,42347
1,40,11,3,10,2,30492
2,73,7,9,10,36,59338
5,118,21,3,13,23,113234
3,117,10,7,15,45,115435
4,160,4,4,6,19,173208
5,132,5,8,12,40,136516
3,137,5,2,19,8,141328
3,121,11,8,11,16,117094
1,198,9,9,6,43,171272
2,192,16,8,1,18,178190
2,77,9,6,2,36,60750
5,53,22,1,15,24,46987
2,175,4,7,4,1,179718
4,130,2,1,5,1,154636
2,93,14,7,15,46,74110
5,169,3,2,11,36,181250
2,140,18,8,10,11,127183
4,128,21,2,17,18,129370
1,95,6,3,2,16,95814
5,133,11,3,10,17,142644
1,132,21,1,3,24,111402
1,123,18,5,19,34,97434
1,124,12,5,5,4,107766
3,61,5,5,3,35,54570
3,74,9,9,8,15,82101
1,55,20,6,5,2,48068
5,89,18,6,12,31,87494
4,161,19,3,14,9,158514
4,167,3,5,7,10,183334
2,152,9,7,11,25,152431
5,56,4,3,8,5,72538
3,119,17,2,5,14,125843
1,169,17,5,8,42,147170
2,171,23,3,12,48,149598
4,124,23,5,15,38,108115
3,133,2,9,19,40,136295
3,173,9,1,16,2,179350
1,120,9,4,14,18,116610
4,108,5,5,7,29,110364
5,108,15,2,8,20,113387
3,187,15,2,7,8,193924
1,55,3,1,18,37,52118
5,90,19,8,6,49,72381
4,144,3,2,19,48,143005
3,105,6,3,4,26,105108
5,48,4,2,3,37,48634
5,146,24,4,17,49,139603
5,139,13,1,19,4,154644
3,125,13,3,15,33,123153
3,103,11,5,6,22,102243
2,61,5,1,12,6,60997
